                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6456,                 6.8114,                 4.4323,                  5e-05,                0.01439,                  3e-05,                      0,                 4.8169,                 6.3073,                   4.16,                0.00016,                0.00016,                0.00016
                      2,                 4.2539,                 5.5637,                 4.3329,                  6e-05,                0.01439,                  3e-05,                      0,                 4.8228,                 6.3083,                 4.1631,             0.00033327,             0.00033327,             0.00033327
                      3,                 4.2977,                 5.5961,                 4.1954,                  3e-05,                0.00719,                  1e-05,                      0,                 4.8374,                 6.2967,                 4.1727,             0.00049941,             0.00049941,             0.00049941
                      4,                 4.1226,                 5.1133,                 3.9748,                  3e-05,                0.00719,                  1e-05,                      0,                 4.8569,                 6.1934,                 4.1877,             0.00065842,             0.00065842,             0.00065842
                      5,                 3.8376,                 4.8076,                  3.756,                  2e-05,                0.00719,                  1e-05,                      0,                 4.8907,                 5.7944,                  4.222,              0.0008103,              0.0008103,              0.0008103
                      6,                 3.3607,                 4.4183,                 3.5609,                  5e-05,                0.01439,                  3e-05,                      0,                 4.9542,                 5.5043,                  4.296,             0.00095506,             0.00095506,             0.00095506
                      7,                 3.4621,                 4.2779,                 3.3047,                  5e-05,                0.01439,                  3e-05,                      0,                 4.9566,                 5.2006,                 4.3101,              0.0010927,              0.0010927,              0.0010927
                      8,                 3.3382,                 3.9362,                   3.19,                  5e-05,                0.01439,                  3e-05,                      0,                 5.0235,                 5.3105,                 4.4082,              0.0012232,              0.0012232,              0.0012232
                      9,                 3.2117,                 3.6732,                 2.9955,                  5e-05,                0.01439,                  3e-05,                      0,                 5.0975,                 5.4384,                 4.5033,              0.0013466,              0.0013466,              0.0013466
                     10,                 3.1703,                 3.5449,                 2.9946,                  5e-05,                0.01439,                  3e-05,                      0,                 4.8431,                 5.3579,                 4.1951,              0.0014628,              0.0014628,              0.0014628
                     11,                 3.0039,                 3.4427,                  2.867,                  5e-05,                0.01439,                  3e-05,                      0,                 4.4447,                   5.27,                 3.9233,              0.0015719,              0.0015719,              0.0015719
                     12,                 2.8964,                 3.3275,                 2.8502,                0.00064,                0.15108,                0.00796,                0.00169,                 3.8235,                 4.8197,                   3.49,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.9397,                 3.0543,                 2.7302,                0.32781,                 0.0632,                0.05533,                0.01473,                 3.0354,                 4.0697,                  2.833,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.8932,                   3.02,                 2.6654,                0.09636,                0.40288,                  0.149,                0.03809,                 2.7705,                  3.717,                 2.7005,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.7647,                 2.8544,                 2.5869,                0.29071,                0.17694,                0.16238,                0.05539,                 2.6483,                 3.2853,                 2.6833,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.6519,                 2.6708,                 2.4616,                0.20288,                0.31862,                0.14831,                0.04705,                 2.5506,                 2.8751,                 2.5607,               0.001406,               0.001406,               0.001406
